,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,Gas Giant,1.0 x Jupiter,52.0 AU,593.2 years,0,2MASS J01225093-2439505,Imaging,,,01h22m50.94s,-24d39m50.6s,3530,0.4,
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,Gas Giant,1.44 x Jupiter,156.0 AU,5878.1 years,0,2MASS J02192210-3925225,Imaging,,,02h19m22.11s,-39d25m22.5s,3064,0.11,0.28
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,Gas Giant,1.13 x Jupiter,15.0 AU,411 years,0,2MASS J04414489+2301513,Imaging,,,04h41m44.90s,+23d01m51.4s,,0.02,
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,Gas Giant,1.16 x Jupiter,46.0 AU,2207.3 years,0,2MASS J12073346-3932539,Imaging,,,12h07m33.47s,-39d32m54.0s,,0.02,
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,Gas Giant,1.2 x Jupiter,0.92 AU,416 days,0,2MASS J19383260+4603591,Eclipse Timing Variations,,,19h38m32.61s,+46d03m59.1s,,0.48,
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,Gas Giant,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,46.2,,21h40m29.32s,+16d25m18.3s,2300,0.08,0.12
17,2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,Gas Giant,1.1 x Jupiter,230.0 AU,4505.7 years,0,2MASS J22362452+4751425,Imaging,,,22h36m24.53s,+47d51m42.6s,4045,0.6,
18,30 Arietis B b,146,13.82 Jupiters,6.962,2009,Gas Giant,1.1 x Jupiter,0.99 AU,335.1 days,0.29,30 Ari B,Radial Velocity,,,02h36m57.74s,+24d38m53.0s,6331,1.93,1.41
19,42 Draconis b,296,3.88 Jupiters,4.82,2008,Gas Giant,1.16 x Jupiter,1.19 AU,479.1 days,0.38,4 UMa,Radial Velocity,,,08h40m12.82s,+64d19m40.6s,4415,1.23,18.11
20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,Gas Giant,1.18 x Jupiter,2.1 AU,3 years,0.03,42 Dra,Radial Velocity,,,18h25m59.14s,+65d33m48.5s,4200,0.98,22.03
